OUT,SP,PV
100,30,40.15
0,30,13.04
0,30,13.82
100,30,14.93
100,30,16.17
100,30,17.65
100,30,19.22
100,30,20.96
100,30,22.56
100,30,24.15
98.1,30,25.6
8.54,30,27.02
78.6,30,28.24
55.71,30,29.44
29.56,30,30.49
17.42,30,31.32
0,30,31.87
0,30,32.23
0,30,32.47
0,30,32.53
0,30,32.47
0,30,32.09
0,30,31.84
0,30,31.52
11.82,30,30.88
56.59,30,30.58
98.71,30,30.24
15.54,30,29.99
25.75,30,29.63
37.16,30,29.24
44.36,30,29.01
54.21,30,28.95
54.98,30,29.12
51.03,30,29.33
40.9,30,29.75
3.64,30,30.06
31.45,30,30.36
23.89,30,30.37
27.99,30,30.24
29.91,30,30.12
3.74,30,29.99
41.05,30,29.79
47.65,30,29.63
